,name,source_full_address,full_address,street_number,street_name,unit,city,province,provider
5465,CENTRE DE LA PETITE ENFANCE LA TOURELLE DE L'ÉNERGIE,"1452, rue Gigaire",1452 rue Gigaire,1452,rue gigaire,,Shawinigan,,Province of Quèbec
21668,Laverne's Family Day Care,7610 St. Mark Cres,7610 St Mark Cres,7610,st mark cres,,Prince George,,Province of British Columbia
5114,LE JARDIN DE ROBI INC.,"870, rue Saint-Jean",870 rue Saint-Jean,870,rue saint-jean,,Roberval,,Province of Quèbec
11986,Maple Preschool Child Care,,nan,9920,Keele Street,,Maple,ON,Province of Ontario
19505,The Clubhouse At Cottonwoods,2255 Ethel Street,2255 Ethel Street,2255,ethel street,,Kelowna,,Province of British Columbia
12427,OAKVILLE FAMILY YMCA SACC - SUNNINGDALE,,nan,1434,Oxford Avenue,,Oakville,ON,Province of Ontario
3591,LITTLE HANDS MONTESSORI ACADEMY LTD.,79 ELIZABETH STREET,79 ELIZABETH STREET,79,elizabeth street,,OKOTOKS,,Province of Alberta
18625,West Island Daycare Rafikki And Me,15734 Boul Gouin West Ste-Genevieve QC,15734 boul gouin west ,15734,boul gouin west,,Ste-genevieve,Quebec,GoDayCare.com
14640,YMCA Ham/Burl - YMCA SACC - Mohawk Gardens,,nan,5280,Spruce Avenue,,Burlington,ON,Province of Ontario
10347,Dow's Lake Day Care / Garderie Lac Dow,,nan,580,Booth Street,,Ottawa,ON,Province of Ontario
2465,CALGARY ABORIGINAL HEAD START,3940 - 73 STREET NW,3940 73 STREET NW,3940,73 street nw,,CALGARY,,Province of Alberta
204,Chez Gisle,144 Street Goodine Fredericton E3B 9H5 (506) 459-0405,144 street goodine ,,144 street goodine,,,,Province of New Brunswick
8382,LA MAISONNÉE DES P'TITS INC.,"1420, place des Graminées",1420 place des Graminées,1420,place des graminées,,Saint-Rémi,,Province of Quèbec
11809,SCHOOL AGE PROGRAM - HOLY FAMILY CATHOLIC SCHOOL,,nan,329,Hudson Drive,,London,ON,Province of Ontario
11530,La Ribambelle Les Rapides,,nan,1103,Michigan Avenue,,Sarnia,ON,Province of Ontario
14316,Columbus Early Learning Centres,,nan,340,Falstaff Avenue,,Toronto,ON,Province of Ontario
11771,STONEYBROOK EARLY CHILDHOOD LEARNING CENTRE - KINDERGARTEN,,nan,548,Fanshawe Park Road,,London,ON,Province of Ontario
4026,Crestview Park Day Nursery Incorporated,"Rooms 2, 3, 4, 6, 7, Gym 37 Voyageur Avenue (Ave) Winnipeg, MB",rooms 2 3 4 6 7 gym 37 voyageur avenue ,37,voyageur avenue,,,,Province of Manitoba
12681,PLASP - Fr. C.W. Sullivan Catholic School,,nan,62,Seaborn Road,,Brampton,ON,Province of Ontario
20104,Queensborough Kids,920 Ewen Ave,920 Ewen Ave,920,ewen ave,,New Westminster,,Province of British Columbia
4199,Kidz Korner Infant Childcare Inc.,"3708 Roblin Boulevard (Blvd) Winnipeg, MB",3708 roblin boulevard ,3708,roblin boulevard,,,,Province of Manitoba
7652,CENTRE DE LA PETITE ENFANCE DE BLAINVILLE,"561, boulevard Curé-Labelle",561 boulevard Curé-Labelle,561,boulevard curé-labelle,,Blainville,,Province of Quèbec
22958,Growing Minds Childcare,425 Cottonwood Street,425 Cottonwood Street,425,cottonwood street,,Chase,,Province of British Columbia
13328,Sharei Tzion Day Care,,nan,8001,Bathurst Street,,Thornhill,ON,Province of Ontario
14300,Morningside Children's Centre (Op: Victoria Village) - 292 Morningside Avenue,,nan,292,Morningside Avenue,,Toronto,ON,Province of Ontario
15208,YMCA School Age Program - Bayview,,nan,845,Ottawa Street,,Midland,ON,Province of Ontario
22857,Abc Academy - Children's Learning Center (Asc & Preschool),201-615 Eighth St,201 615 Eighth St,201,615 eighth st,,New Westminster,,Province of British Columbia
12060,Merrickville Day Nursery School,,nan,223,Lewis Street,,Merrickville,ON,Province of Ontario
18330,East Royalty Kindergarten,1 Avonlea Drive Charlottetown PE,1 avonlea drive ,1,avonlea drive,,Charlottetown,Prince Edward Island,GoDayCare.com
17530,A Home Away From Home Daycare,O'Connor ln Guelph ON,o'connor ln ,,o'connor ln,,Guelph,Ontario,GoDayCare.com
2833,UNIVERSITY CHILD CARE CENTRE - WEST CAMPUS,"3820 - 24 AVE NW, WEST CAMPUS",3820 24 AVE NW WEST CAMPUS,3820,24 ave nw,,CALGARY,,Province of Alberta
3925,Family or Group Child Care Home *,None,None,,,,,,Province of Manitoba
17847,Angie's Daycare,Collegiate Orillia ON,collegiate ,,,,Orillia,Ontario,GoDayCare.com
16859,Home Daycare,12345 Main Athens ON,12345 main ,12345,main,,Athens,Ontario,GoDayCare.com
7354,GARDERIE EDUCATIVE POUPA INC.,"7255, boulevard des Laurentides, local 104",7255 boulevard des Laurentides,7255,boulevard des laurentides,,Laval,,Province of Quèbec
2448,NEW SAREPTA DAYCARE,5013 CENTRE AVE,5013 CENTRE AVE,5013,centre ave,,NEW SAREPTA,,Province of Alberta
21943,Top Drawer Daycares Inc.,1044 St. Georges Ave,1044 St Georges Ave,1044,st georges ave,,North Vancouver,,Province of British Columbia
12796,PLASP - Whiteoaks Public School,,nan,1690,Mazo Crescent,,Mississauga,ON,Province of Ontario
22653,Sing And Smile Child Care Ltd,6050 176 St,6050 176 St,6050,176 st,,Surrey,,Province of British Columbia
11183,KIDZ KOVE CHILDCARE CENTRE,,nan,4870,Tomken Road,,MIssissauga,ON,Province of Ontario
12626,PLASP Islington Junior Middle School,,nan,44,Cordova Avenue,,Toronto,ON,Province of Ontario
7112,CENTRE DE LA PETITE ENFANCE P'TITS COQUILLAGES,"423, route Bellevue",423 route Bellevue,423,route bellevue,,Port-Daniel-Gascons,,Province of Quèbec
2290,QUATRE SAISONS DAYCARE,10309 102 AVE,10309 102 AVE,10309,102 ave,,LAC LA BICHE,,Province of Alberta
8728,Monkey See Monkey Do - Appleby Campus,,nan,1940,Appleby Line,,Burlington,ON,Province of Ontario
