,source_full_address,full_address,street_number,street_name,unit,rearranged,rearranged_parsed
106,none,none,,,,none,"[('none', 'city')]"
107,none,none,,,,none,"[('none', 'city')]"
108,none,none,,,,none,"[('none', 'city')]"
109,none,none,,,,none,"[('none', 'city')]"
110,none,none,,,,none,"[('none', 'city')]"
111,none,none,,,,none,"[('none', 'city')]"
112,none,none,,,,none,"[('none', 'city')]"
113,none,none,,,,none,"[('none', 'city')]"
114,none,none,,,,none,"[('none', 'city')]"
115,none,none,,,,none,"[('none', 'city')]"
116,none,none,,,,none,"[('none', 'city')]"
117,none,none,,,,none,"[('none', 'city')]"
118,none,none,,,,none,"[('none', 'city')]"
119,none,none,,,,none,"[('none', 'city')]"
120,none,none,,,,none,"[('none', 'city')]"
121,none,none,,,,none,"[('none', 'city')]"
122,none,none,,,,none,"[('none', 'city')]"
123,none,none,,,,none,"[('none', 'city')]"
124,none,none,,,,none,"[('none', 'city')]"
125,none,none,,,,none,"[('none', 'city')]"
126,none,none,,,,none,"[('none', 'city')]"
127,none,none,,,,none,"[('none', 'city')]"
128,none,none,,,,none,"[('none', 'city')]"
129,none,none,,,,none,"[('none', 'city')]"
130,none,none,,,,none,"[('none', 'city')]"
131,7 Theatre Street Minto E4B 3M9 (506) 327-3456,7 theatre street,7,theatre street,,7 theatre street,"[('7', 'house_number'), ('theatre street', 'road')]"
132,1341 chemin Robertville Robertville E8K 2V9 (506) 542-2453,1341 chemin robertville,1341,chemin robertville,,1341 chemin robertville,"[('1341', 'house_number'), ('chemin robertville', 'road')]"
133,205 York Street Bathurst E2A 1G9 (506) 543-1199,205 york street,205,york street,,205 york street,"[('205', 'house_number'), ('york street', 'road')]"
134,210 Road Mill Moncton E1A 4B1 (506) 857-8999,210 road mill,road,mill,210,210 road mill,"[('210', 'house_number'), ('road', 'road'), ('mill', 'city')]"
135,1240 Street Ryan Moncton E1G 2V6 (506) 854-7529,1240 street ryan,1240,street ryan,,1240 street ryan,"[('1240', 'house_number'), ('street ryan', 'road')]"
136,1240 Ryan Street Moncton E1G 2V6 (506) 854-7529,1240 ryan street,1240,ryan street,,1240 ryan street,"[('1240', 'house_number'), ('ryan street', 'road')]"
137,1240 Street Ryan Moncton E1G 2V6 (506) 878-1515,1240 street ryan,1240,street ryan,,1240 street ryan,"[('1240', 'house_number'), ('street ryan', 'road')]"
138,257 rue des Erables Dieppe E1A 9B1 (506) 853-7529,257 rue des erables,257,rue des erables,,257 rue des erables,"[('257', 'house_number'), ('rue des erables', 'road')]"
139,257 rue des Erables Dieppe E1A 9B1 (506) 853-7529,257 rue des erables,257,rue des erables,,257 rue des erables,"[('257', 'house_number'), ('rue des erables', 'road')]"
140,62 Miramichi Road Oromocto E2V 1S2 (506) 357-2618,62 miramichi road,62,miramichi road,,62 miramichi road,"[('62', 'house_number'), ('miramichi road', 'road')]"
141,50 Runnymeade Road Riverview E1B 4M7 (506) 387-7070,50 runnymeade road,50,runnymeade road,,50 runnymeade road,"[('50', 'house_number'), ('runnymeade road', 'road')]"
142,61 Bull Road Bedell E7M 3Y2 (506) 328-0088,61 bull road,61,bull road,,61 bull road,"[('61', 'house_number'), ('bull road', 'road')]"
143,18 Hillsleigh Court Douglas E3G 7Y9 (506) 260-9093,18 hillsleigh court,18,hillsleigh court,,18 hillsleigh court,"[('18', 'house_number'), ('hillsleigh court', 'road')]"
144,866 chemin Robertville Dunlop E8K 2K5 (506) 783-4998,866 chemin robertville,866,chemin robertville,,866 chemin robertville,"[('866', 'house_number'), ('chemin robertville', 'road')]"
145,25 Mcnair Drive Nackawic E6G 1A2 (506) 608-1736,25 mcnair drive,25,mcnair drive,,25 mcnair drive,"[('25', 'house_number'), ('mcnair drive', 'road')]"
146,327 Prince West Street Saint John E2M 1P6 (506) 672-5155,327 prince west street,327,prince west street,,327 prince west street,"[('327', 'house_number'), ('prince west street', 'road')]"
147,115 Maxwell Street Woodstock E7M 0B6 (506) 328-6724,115 maxwell street,115,maxwell street,,115 maxwell street,"[('115', 'house_number'), ('maxwell street', 'road')]"
148,28 Christopher Crescent Moncton E1G 0A5 (506) 204-4299,28 christopher crescent,28,christopher crescent,,28 christopher crescent,"[('28', 'house_number'), ('christopher crescent', 'road')]"
149,733 chemin Chartersville Dieppe E1A 1K7 (506) 854-8484,733 chemin chartersville,733,chemin chartersville,,733 chemin chartersville,"[('733', 'house_number'), ('chemin chartersville', 'road')]"
150,162 chemin Cormier Village Grand-Barachois (506) 532-9536,162 chemin cormier village,162,chemin cormier village,,162 chemin cormier village,"[('162', 'house_number'), ('chemin cormier village', 'road')]"
151,553 104 Route Burtts Corner E6L 2B2 (506) 363-5551,553 104 route,553,104 route,,553 104 route,"[('553', 'house_number'), ('104 route', 'road')]"
152,71 D'Amours Street Oromocto E2V 0G5 (506) 357-5437,71 d'amours street,71,d'amours street,,71 d'amours street,"[('71', 'house_number'), (""d'amours street"", 'road')]"
153,61 MacDonald Avenue Oromocto E2V 1A3 (506) 357-3890,61 macdonald avenue,61,macdonald avenue,,61 macdonald avenue,"[('61', 'house_number'), ('macdonald avenue', 'road')]"
154,148 Mataya Drive Richibucto Road E3A 0A6 (506) 454-7510,148 mataya drive,148,mataya drive,,148 mataya drive,"[('148', 'house_number'), ('mataya drive', 'road')]"
155,677 Beaconsfield Avenue Saint John E2M 2K6 (506) 647-0115,677 beaconsfield avenue,677,beaconsfield avenue,,677 beaconsfield avenue,"[('677', 'house_number'), ('beaconsfield avenue', 'road')]"
156,248 Bond Drive Moncton E1E 4S4 (506) 204-8285,248 bond drive,248,bond drive,,248 bond drive,"[('248', 'house_number'), ('bond drive', 'road')]"
157,20 Leaman Court Saint John E2J 1B6 (506) 657-7151,20 leaman court,20,leaman court,,20 leaman court,"[('20', 'house_number'), ('leaman court', 'road')]"
158,58 Hanselpacker Road Harvey Station E6K 1A3 (506) 261-9918,58 hanselpacker road,58,hanselpacker road,,58 hanselpacker road,"[('58', 'house_number'), ('hanselpacker road', 'road')]"
159,54 Disher Lane Dufferin Charlotte Co E3L 3H7 (506) 466-4300,54 disher lane dufferin,54,disher lane dufferin,,54 disher lane dufferin,"[('54', 'house_number'), ('disher lane dufferin', 'road')]"
160,54 Disher Lane Dufferin Charlotte Co E3L 3H7 (506) 466-4314,54 disher lane dufferin,54,disher lane dufferin,,54 disher lane dufferin,"[('54', 'house_number'), ('disher lane dufferin', 'road')]"
161,23 Lloyd Street Hanwell E3C 1M4 (506) 206-4455,23 lloyd street,23,lloyd street,,23 lloyd street,"[('23', 'house_number'), ('lloyd street', 'road')]"
162,177 Argyle Street Fredericton E3B 1T6 (506) 454-5558,177 argyle street,177,argyle street,,177 argyle street,"[('177', 'house_number'), ('argyle street', 'road')]"
163,174 Milltown Boulevard St. Stephen E3L 1G8 (506) 466-3614,174 milltown boulevard st,174,milltown boulevard st,,174 milltown boulevard st,"[('174', 'house_number'), ('milltown boulevard st', 'road')]"
164,Milltown Boulevard St. Stephen E3L 1G8 (506) 466-3614,milltown boulevard st,,,,milltown boulevard st,"[('milltown boulevard st', 'road')]"
165,600 Main Street Blacks Harbour E5H 1C1 (506) 466-4300,600 main street,600,main street,,600 main street,"[('600', 'house_number'), ('main street', 'road')]"
166,54 Disher Lane Dufferin Charlotte Co E3L 3H7 (506) 466-4300,54 disher lane dufferin,54,disher lane dufferin,,54 disher lane dufferin,"[('54', 'house_number'), ('disher lane dufferin', 'road')]"
167,434 Milltown Boulevard St. Stephen E3L 1J8 (506) 466-4300,434 milltown boulevard st,434,milltown boulevard st,,434 milltown boulevard st,"[('434', 'house_number'), ('milltown boulevard st', 'road')]"
168,148 Bridge Street Sackville E4L 3P7 (506) 536-1066,148 bridge street,148,bridge street,,148 bridge street,"[('148', 'house_number'), ('bridge street', 'road')]"
169,146 Bridge Street Sackville E4L 3P7 (506) 536-1066,146 bridge street,146,bridge street,,146 bridge street,"[('146', 'house_number'), ('bridge street', 'road')]"
170,486 Needham Street Fredericton E3B 1P1 (506) 458-6998,486 needham street,486,needham street,,486 needham street,"[('486', 'house_number'), ('needham street', 'road')]"
171,914 Dever Road Saint John E2M 4J3 (506) 674-1484,914 dever road,914,dever road,,914 dever road,"[('914', 'house_number'), ('dever road', 'road')]"
172,491 Pleasant Drive Minto E4B 2T4 (506) 327-3030,491 pleasant drive,491,pleasant drive,,491 pleasant drive,"[('491', 'house_number'), ('pleasant drive', 'road')]"
173,34 King Street Campbellton E3N 1C6 (506) 987-2532,34 king street,34,king street,,34 king street,"[('34', 'house_number'), ('king street', 'road')]"
174,79 Weyburn Road Moncton E1A 5M5 (506) 874-9139,79 weyburn road,79,weyburn road,,79 weyburn road,"[('79', 'house_number'), ('weyburn road', 'road')]"
175,178 Albert Street Moncton E1C 1B2 (506) 384-7529,178 albert street,178,albert street,,178 albert street,"[('178', 'house_number'), ('albert street', 'road')]"
176,178 Albert Street Moncton E1C 1B2 (506) 384-7529,178 albert street,178,albert street,,178 albert street,"[('178', 'house_number'), ('albert street', 'road')]"
177,A 661 Dever Road Saint John E2M 4J2 (506) 672-3134,a 661 dever road,661,dever road,a,a 661 dever road,"[('a', 'road'), ('661', 'house_number'), ('dever road', 'road')]"
178,1036 chemin Tobique DSL de Drummond E3Y 2K4 (506) 582-1722,1036 chemin tobique dsl de,,,,1036 chemin tobique dsl de,"[('1036', 'house_number'), ('chemin tobique', 'road'), ('dsl', 'city'), ('de', 'country')]"
179,176 chemin Cormier Cross Cocagne E4R 2J5 (506) 576-6738,176 chemin cormier cross,176,chemin cormier cross,,176 chemin cormier cross,"[('176', 'house_number'), ('chemin cormier cross', 'road')]"
180,3532 Woodstock Road Fredericton E3E 1E6 (506) 260-6256,3532 woodstock road,3532,woodstock road,,3532 woodstock road,"[('3532', 'house_number'), ('woodstock road', 'road')]"
181,3532 Woodstock Road Fredericton E3E 1E6 (506) 260-6256,3532 woodstock road,3532,woodstock road,,3532 woodstock road,"[('3532', 'house_number'), ('woodstock road', 'road')]"
182,310 Princess Street Saint John E2L 1L5 (506) 693-8080,310 princess street,310,princess street,,310 princess street,"[('310', 'house_number'), ('princess street', 'road')]"
183,9 rue Sainte-Croix Moncton E1A 3E9 (506) 858-4270,9 rue sainte croix,9,rue sainte croix,,9 rue sainte croix,"[('9', 'house_number'), ('rue sainte croix', 'road')]"
184,14 avenue No Saint-Andr E3Y 0C5 (506) 473-1090,14 avenue no,14,avenue no,,14 avenue no,"[('14', 'house_number'), ('avenue no', 'road')]"
185,438 rue Levesque Saint-Andr E3Y 3C7,438 rue levesque,438,rue levesque,,438 rue levesque,"[('438', 'house_number'), ('rue levesque', 'road')]"
186,1060 chemin Melanson Dieppe E1A 7P2 (506) 384-0707,1060 chemin melanson,1060,chemin melanson,,1060 chemin melanson,"[('1060', 'house_number'), ('chemin melanson', 'road')]"
187,355 rue Amirault Dieppe E1A 1G1 (506) 855-9000,355 rue amirault,355,rue amirault,,355 rue amirault,"[('355', 'house_number'), ('rue amirault', 'road')]"
188,11 ruelle David Dieppe E1A 0J7 (506) 384-2361,11 ruelle david,11,ruelle david,,11 ruelle david,"[('11', 'house_number'), ('ruelle david', 'road')]"
189,520 rue Amirault Dieppe E1A 1C8 (506) 384-5936,520 rue amirault,520,rue amirault,,520 rue amirault,"[('520', 'house_number'), ('rue amirault', 'road')]"
190,313 rue Centrale Memramcook E4K 1Z9 (506) 334-0252,313 rue centrale,313,rue centrale,,313 rue centrale,"[('313', 'house_number'), ('rue centrale', 'road')]"
191,210 rue Sainte-Therese Dieppe E1A 1T3 (506) 852-1317,210 rue sainte therese,210,rue sainte therese,,210 rue sainte therese,"[('210', 'house_number'), ('rue sainte therese', 'road')]"
192,505 rue Champlain Dieppe E1A 1P2 (506) 855-2647,505 rue champlain,505,rue champlain,,505 rue champlain,"[('505', 'house_number'), ('rue champlain', 'road')]"
193,505 rue Champlain Dieppe E1A 1P2 (506) 855-2647,505 rue champlain,505,rue champlain,,505 rue champlain,"[('505', 'house_number'), ('rue champlain', 'road')]"
194,386 rue Amirault Dieppe E1A 1G3 (506) 854-7412,386 rue amirault,386,rue amirault,,386 rue amirault,"[('386', 'house_number'), ('rue amirault', 'road')]"
195,55 rue Englehart Dieppe E1A 8K2 (506) 386-2262,55 rue englehart,55,rue englehart,,55 rue englehart,"[('55', 'house_number'), ('rue englehart', 'road')]"
196,55 rue Englehart Dieppe E1A 8K2 (506) 386-2262,55 rue englehart,55,rue englehart,,55 rue englehart,"[('55', 'house_number'), ('rue englehart', 'road')]"
197,756 Central Street Centreville E7K 2M7 (506) 276-4437,756 central street,756,central street,,756 central street,"[('756', 'house_number'), ('central street', 'road')]"
198,751 Central Street Centreville E7K 2M6 (506) 276-4437,751 central street,751,central street,,751 central street,"[('751', 'house_number'), ('central street', 'road')]"
199,80 University Avenue Miramichi E1N 0C6 (506) 773-9779,80 university avenue,80,university avenue,,80 university avenue,"[('80', 'house_number'), ('university avenue', 'road')]"
200,21 Hotel Dieu Street Miramichi E1N 0A5 (506) 773-0993,21 hotel dieu street,21,hotel dieu street,,21 hotel dieu street,"[('21', 'house_number'), ('hotel dieu street', 'road')]"
201,79 Edith Avenue Saint John E2J 4H3 (506) 696-6443,79 edith avenue,79,edith avenue,,79 edith avenue,"[('79', 'house_number'), ('edith avenue', 'road')]"
202,185 Loch Lomond Road Saint John E2J 3Z6 (506) 639-3096,185 loch lomond road,185,loch lomond road,,185 loch lomond road,"[('185', 'house_number'), ('loch lomond road', 'road')]"
203,447 rue Avant-Garde Dieppe E1A 5E6 (506) 874-6860,447 rue avant garde,447,rue avant garde,,447 rue avant garde,"[('447', 'house_number'), ('rue avant garde', 'road')]"
204,144 Street Goodine Fredericton E3B 9H5 (506) 459-0405,144 street goodine,,,,144 street goodine,"[('144 street goodine', 'road')]"
205,11 Perley Avenue Fredericton E3A 4R6 (506) 262-1436,11 perley avenue,11,perley avenue,,11 perley avenue,"[('11', 'house_number'), ('perley avenue', 'road')]"
206,1466 Woodstock Road Fredericton E3C 1P3 (506) 454-2744,1466 woodstock road,1466,woodstock road,,1466 woodstock road,"[('1466', 'house_number'), ('woodstock road', 'road')]"
207,1125 655 Route Waasis E3B 9A4 (506) 429-2948,1125 655 route,1125,655 route,,1125 655 route,"[('1125', 'house_number'), ('655 route', 'road')]"
208,11 Golden Hawk Drive Miramichi E1N 3J1 (506) 773-7943,11 golden hawk drive,11,golden hawk drive,,11 golden hawk drive,"[('11', 'house_number'), ('golden hawk drive', 'road')]"
209,25 Duke Street Sussex E4E 1P8 (506) 434-1234,25 duke street,25,duke street,,25 duke street,"[('25', 'house_number'), ('duke street', 'road')]"
210,68 Lake Road Kingston E5N 1K1 (506) 639-9587,68 lake road,68,lake road,,68 lake road,"[('68', 'house_number'), ('lake road', 'road')]"
211,140 Street Botsford Moncton E1C 4X5 (506) 859-1498,140 street botsford,140 street,botsford,,140 street botsford,"[('140 street', 'road'), ('botsford', 'city')]"
212,140 Street Botsford Moncton E1C 4X5 (506) 859-1498,140 street botsford,140 street,botsford,,140 street botsford,"[('140 street', 'road'), ('botsford', 'city')]"
213,83 Street Drummond Moncton E1A 2Z3 (506) 857-8999,83 street drummond,83 street,drummond,,83 street drummond,"[('83 street', 'road'), ('drummond', 'city')]"
214,500 rue Centrale Dieppe E1A 6V7 (506) 383-8470,500 rue centrale,500,rue centrale,,500 rue centrale,"[('500', 'house_number'), ('rue centrale', 'road')]"
215,1125 Highland Avenue Bathurst E2A 4P7 (506) 543-3807,1125 highland avenue,1125,highland avenue,,1125 highland avenue,"[('1125', 'house_number'), ('highland avenue', 'road')]"
216,840 Street Grandview Bathurst E2A 3R7 (506) 547-0084,840 street grandview,840 street,grandview,,840 street grandview,"[('840 street', 'road'), ('grandview', 'city')]"
217,1410 Miramichi Avenue Bathurst E2A 1Y2 (506) 548-8584,1410 miramichi avenue,1410,miramichi avenue,,1410 miramichi avenue,"[('1410', 'house_number'), ('miramichi avenue', 'road')]"
218,1255 Drive Rough Water Bathurst E2A 1Z2 (506) 548-8584,1255 drive rough water,,,,1255 drive rough water,"[('1255 drive rough water', 'road')]"
219,980 Boulevard Vanier Bathurst E2A 3N2 (506) 547-0084,980 boulevard vanier,980,boulevard vanier,,980 boulevard vanier,"[('980', 'house_number'), ('boulevard vanier', 'road')]"
220,980 Boulevard Vanier Bathurst E2A 3N2 (506) 547-0085,980 boulevard vanier,980,boulevard vanier,,980 boulevard vanier,"[('980', 'house_number'), ('boulevard vanier', 'road')]"
221,980 Boulevard Vanier Bathurst E2A 3N2 (506) 547-0085,980 boulevard vanier,980,boulevard vanier,,980 boulevard vanier,"[('980', 'house_number'), ('boulevard vanier', 'road')]"
222,155 Basin Street Bathurst E2A 6N1 (506) 547-0084,155 basin street,155,basin street,,155 basin street,"[('155', 'house_number'), ('basin street', 'road')]"
223,1620 boulevard Dieppe Dieppe E1A 8P5 (506) 380-0777,1620 boulevard dieppe,boulevard,dieppe,1620,1620 boulevard dieppe,"[('1620', 'house_number'), ('boulevard', 'road'), ('dieppe', 'city')]"
224,29 Street Mcann Moncton E1A 4S6 (506) 850-6000,29 street mcann,,,,29 street mcann,"[('29 street mcann', 'road')]"
225,500 rue Notre-Dame Dieppe E1A 5C2 (506) 855-7417,500 rue notre dame,500,rue notre dame,,500 rue notre dame,"[('500', 'house_number'), ('rue notre dame', 'road')]"
226,55 Bromley Avenue Hanwell E3C 1M8 (506) 454-6292,55 bromley avenue,55,bromley avenue,,55 bromley avenue,"[('55', 'house_number'), ('bromley avenue', 'road')]"
227,120 Coburg Street Saint John E2L 3K1 (506) 693-2228,120 coburg street,120,coburg street,,120 coburg street,"[('120', 'house_number'), ('coburg street', 'road')]"
228,1433 Loch Lomond Road Saint John E2J 1Z8 (506) 696-6442,1433 loch lomond road,1433,loch lomond road,,1433 loch lomond road,"[('1433', 'house_number'), ('loch lomond road', 'road')]"
229,850 Montgomery Street Fredericton E3B 2X9 (506) 458-2883,850 montgomery street,850,montgomery street,,850 montgomery street,"[('850', 'house_number'), ('montgomery street', 'road')]"
230,190 Doak Road Fredericton E3C 2G2 (506) 444-0505,190 doak road,190,doak road,,190 doak road,"[('190', 'house_number'), ('doak road', 'road')]"
231,148 Hillsborough Road Riverview E1B 1R6 (506) 860-6572,148 hillsborough road,148,hillsborough road,,148 hillsborough road,"[('148', 'house_number'), ('hillsborough road', 'road')]"
232,142 Hillsborough Road Riverview E1B 1R6 (506) 860-6572,142 hillsborough road,142,hillsborough road,,142 hillsborough road,"[('142', 'house_number'), ('hillsborough road', 'road')]"
233,142 Hillsborough Road Riverview E1B 1R6 (506) 860-6572,142 hillsborough road,142,hillsborough road,,142 hillsborough road,"[('142', 'house_number'), ('hillsborough road', 'road')]"
234,133 Courtenay Avenue Saint John E2J 1N4 (506) 634-8418,133 courtenay avenue,133,courtenay avenue,,133 courtenay avenue,"[('133', 'house_number'), ('courtenay avenue', 'road')]"
235,11782 Route 144 Saint-Lonard E7E 2M1 (506) 423-6401,11782 route 144,11782,route 144,,11782 route 144,"[('11782', 'house_number'), ('route 144', 'road')]"
236,523 rue Principale Clair E7A 2G8 (506) 253-9075,523 rue principale,523,rue principale,,523 rue principale,"[('523', 'house_number'), ('rue principale', 'road')]"
237,2-1 9160 Main Street Florenceville-Bristol E7L 2A6 (506) 392-6161,2 1 9160 main street florenceville,,,,2 1 9160 main street florenceville,"[('2', 'house_number'), ('1', 'road'), ('9160', 'house_number'), ('main street', 'road'), ('florenceville', 'city')]"
238,205 Main Street Rexton E4W 2A9 (506) 523-4434,205 main street,205,main street,,205 main street,"[('205', 'house_number'), ('main street', 'road')]"
239,203 Main Street Rexton E4W 2A9 (506) 523-4434,203 main street,203,main street,,203 main street,"[('203', 'house_number'), ('main street', 'road')]"
240,1691 Lincoln Road Fredericton E3B 8J7 (506) 459-8458,1691 lincoln road,1691,lincoln road,,1691 lincoln road,"[('1691', 'house_number'), ('lincoln road', 'road')]"
241,281 Restigouche Road Oromocto E2V 2H2 (506) 357-9938,281 restigouche road,281,restigouche road,,281 restigouche road,"[('281', 'house_number'), ('restigouche road', 'road')]"
242,281 Restigouche Road Oromocto E2V 2H2 (506) 357-9938,281 restigouche road,281,restigouche road,,281 restigouche road,"[('281', 'house_number'), ('restigouche road', 'road')]"
243,98 chemin Tobique Grand-Sault/Grand Falls E3Y 1B9 (506) 475-8525,98 chemin tobique,98,chemin tobique,,98 chemin tobique,"[('98', 'house_number'), ('chemin tobique', 'road')]"
244,99 Highlandview Road Moncton E1A 2L1 (506) 388-9019,99 highlandview road,99,highlandview road,,99 highlandview road,"[('99', 'house_number'), ('highlandview road', 'road')]"
245,103 Teak Drive Fredericton E3A 2H9 (506) 292-0207,103 teak drive,103,teak drive,,103 teak drive,"[('103', 'house_number'), ('teak drive', 'road')]"
246,Oromocto (709) 728-1190,,,,,,[]
247,217 Sumner Avenue Moncton E1C 8A6 (506) 854-5656,217 sumner avenue,217,sumner avenue,,217 sumner avenue,"[('217', 'house_number'), ('sumner avenue', 'road')]"
248,19 Francis rue Dieppe E1A 7R2 (506) 855-6276,19 francis rue,19,francis rue,,19 francis rue,"[('19', 'house_number'), ('francis rue', 'road')]"
249,30 Douglas Street Saint John E2K 0G5 (506) 214-5556,30 douglas street,30,douglas street,,30 douglas street,"[('30', 'house_number'), ('douglas street', 'road')]"
